# alias<TAB>canonical: names the first importer split out of a duo credit
# ("Simon & Garfunkel" was filed under "Simon" and under "Garfunkel").
garfunkel	simonandgarfunkel
simongarfunkel	simonandgarfunkel
kool	koolandthegang
koolthegang	koolandthegang
fireearth	earthwindandfire
earthwindfire	earthwindandfire
darylhall	darylhallandjohnoates
darylhalljohnoates	darylhallandjohnoates
hallandoates	darylhallandjohnoates
hall	darylhallandjohnoates
halloates	darylhallandjohnoates
earthwind	earthwindandfire
stills	crosbystillsnash
nash	crosbystillsnash
crosby	crosbystillsnash
nashcrosby	crosbystillsnash
crosbystillsandnash	crosbystillsnash
youngcrosby	crosbystillsnashandyoung
crosbystillsnashyoung	crosbystillsnashandyoung
lake	emersonlakeandpalmer
palmeremerson	emersonlakeandpalmer
emerson	emersonlakeandpalmer
emersonlake	emersonlakeandpalmer
emersonlakepalmer	emersonlakeandpalmer
themamas	themamasandthepapas
thepapas	themamasandthepapas
themamasthepapas	themamasandthepapas
marypeter	peterpaulandmary
paulandmarypeter	peterpaulandmary
brooks	brooksanddunn
dunn	brooksanddunn
brooksdunn	brooksanddunn
mumford	mumfordandsons
sons	mumfordandsons
mumfordsons	mumfordandsons
sly	slyandthefamilystone
thefamilystone	slyandthefamilystone
familystone	slyandthefamilystone
slythefamilystone	slyandthefamilystone
hueylewis	hueylewisandthenews
thenews	hueylewisandthenews
hueylewisthenews	hueylewisandthenews
kc	kcandthesunshineband
thesunshineband	kcandthesunshineband
kcthesunshineband	kcandthesunshineband
echo	echoandthebunnymen
thebunnymen	echoandthebunnymen
echothebunnymen	echoandthebunnymen
siouxsie	siouxsieandthebanshees
thebanshees	siouxsieandthebanshees
siouxsiethebanshees	siouxsieandthebanshees
iron	ironandwine
wine	ironandwine
ironwine	ironandwine
sweat	bloodsweatandtears
tearsblood	bloodsweatandtears
bloodsweattears	bloodsweatandtears
above	aboveandbeyond
beyond	aboveandbeyond
abovebeyond	aboveandbeyond
chase	chaseandstatus
status	chaseandstatus
chasestatus	chaseandstatus
thepips	gladysknight
pips	gladysknight
gladysknightthepips	gladysknight
gladysknightandthepips	gladysknight
theheartbreakers	tompettyandtheheartbreakers
heartbreakers	tompettyandtheheartbreakers
tompettytheheartbreakers	tompettyandtheheartbreakers
thewailers	bobmarley
wailers	bobmarley
bobmarleythewailers	bobmarley
bobmarleyandthewailers	bobmarley
thebadseeds	nickcave
badseeds	nickcave
nickcavethebadseeds	nickcave
nickcaveandthebadseeds	nickcave
theblackhearts	joanjett
joanjetttheblackhearts	joanjett
joanjettandtheblackhearts	joanjett
thedestroyers	georgethorogood
georgethorogoodthedestroyers	georgethorogood
georgethorogoodandthedestroyers	georgethorogood
thesilverbulletband	bobseger
bobsegerthesilverbulletband	bobseger
bobsegerandthesilverbulletband	bobseger
doubletrouble	stevierayvaughan
stevierayvaughandoubletrouble	stevierayvaughan
stevierayvaughananddoubletrouble	stevierayvaughan
theattractions	elviscostello
elviscostellotheattractions	elviscostello
elviscostelloandtheattractions	elviscostello
theestreetband	brucespringsteen
brucespringsteentheestreetband	brucespringsteen
brucespringsteenandtheestreetband	brucespringsteen
crazyhorse	neilyoung
neilyoungcrazyhorse	neilyoung
neilyoungandcrazyhorse	neilyoung
ike	ikeandtinaturner
iketinaturner	ikeandtinaturner
bigbrother	bigbrotherandtheholdingcompany
theholdingcompany	bigbrotherandtheholdingcompany
bigbrothertheholdingcompany	bigbrotherandtheholdingcompany
gerry	gerryandthepacemakers
thepacemakers	gerryandthepacemakers
gerrythepacemakers	gerryandthepacemakers
tommyjames	tommyjamesandtheshondells
theshondells	tommyjamesandtheshondells
tommyjamestheshondells	tommyjamesandtheshondells
toots	tootsandthemaytals
themaytals	tootsandthemaytals
tootsthemaytals	tootsandthemaytals
albano	albanoandrominapower
rominapower	albanoandrominapower
albanorominapower	albanoandrominapower
jan	jananddean
dean	jananddean
jandean	jananddean
djjazzyjeff	djjazzyjeffandthefreshprince
thefreshprince	djjazzyjeffandthefreshprince
djjazzyjeffthefreshprince	djjazzyjeffandthefreshprince
belle	belleandsebastian
sebastian	belleandsebastian
bellesebastian	belleandsebastian
zezedicamargo	zezedicamargoeluciano
zezedicamargoluciano	zezedicamargoeluciano
kinggizzard	kinggizzardandthelizardwizard
thelizardwizard	kinggizzardandthelizardwizard
kinggizzardthelizardwizard	kinggizzardandthelizardwizard
blank	blankjones
jones	blankjones
blankandjones	blankjones
ryanlewis	macklemoreandryanlewis
macklemoreryanlewis	macklemoreandryanlewis
hismagicband	captainbeefheartandhismagicband
captainbeefhearthismagicband	captainbeefheartandhismagicband
hiscomets	billhaleyandhiscomets
billhaleyhiscomets	billhaleyandhiscomets
wisinyandel	wisinyyandel
sonny	sonnyandcher
sonnycher	sonnyandcher
hootie	hootieandtheblowfish
theblowfish	hootieandtheblowfish
hootietheblowfish	hootieandtheblowfish
captain	captainandtennille
tennille	captainandtennille
captaintennille	captainandtennille
thevandellas	marthaandthevandellas
vandellas	marthaandthevandellas
marthareevesthevandellas	marthaandthevandellas
derek	derekandthedominos
thedominos	derekandthedominos
derekthedominos	derekandthedominos
florenceandthemachine	florencethemachine
florence	florencethemachine
themachine	florencethemachine
marinaandthediamonds	marina
marinathediamonds	marina
therevolution	prince
princeandtherevolution	prince
beatles	thebeatles
keha	kesha
koяn	korn
omd	orchestralmanoeuvresinthedark
orchestralmanoeuvresinthedarkomd	orchestralmanoeuvresinthedark
nilsson	harrynilsson
b52s	theb52s
chemicalbrothers	thechemicalbrothers
whitestripes	thewhitestripes
sistersofmercy	thesistersofmercy
theredhotchilipeppers	redhotchilipeppers
police	thepolice
yusufcatstevens	catstevens
dexys	dexysmidnightrunners
jackson5	thejackson5
puffdaddy	diddy
ye	kanyewest
